obsC	timeC	obsI	timeI
947	1996	89.6	1996
1050	1997	78.6	1997
583	1998	74.6	1998
492	1999	65.1	1999
339	2000	72.8	2000
469	2001	87	2001
1495	2002	89.1	2002
1077	2003	82.4	2003
1104	2004	89.1	2004
733	2005	77.42	2005
483	2006	97.7	2006
1466	2007	112.2	2007
1929	2008	134.1	2008
1570	2009	136.6	2009
2027	2010	155.9	2010
2025	2011	152.4	2011
1946	2012	175.8	2012
1958	2013	156.32	2013
1491	2014	143.8	2014
813	2015	108.3	2015
800	2016	116.6	2016
1886	2017	106.9	2017
1335	2018	107.7	2018
1808	2019	107.7	2019


